 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 5.00 9.00 25.00 29.00 14422.63 0.09 0.00 -44.80 -49.873 5.214
 5.00 9.00 29.00 33.00 14440.45 0.19 0.00 76.61 -28.534 5.214
 5.00 9.00 33.00 18.00 14482.40 0.13 0.00 -57.48 339.367 5.214
 5.00 9.00 18.00 22.00 14637.02 0.15 0.00 92.49 -195.433 5.214
 5.00 9.00 22.00 26.00 16156.73 0.05 0.00 -107.85 -92.453 5.214
 5.00 9.00 26.00 30.00 11655.56 0.48 0.00 44.30 -34.682 5.214
 5.00 9.00 30.00 34.00 10176.74 0.16 0.00 -38.68 -17.751 5.214
 5.00 9.00 19.00 23.00 14463.20 0.40 0.00 110.94 -151.941 5.198
 5.00 9.00 23.00 27.00 14388.32 0.71 0.00 2.51 -68.707 5.198
 5.00 9.00 27.00 31.00 18613.68 0.41 0.00 7.77 -47.860 5.198
 5.00 9.00 31.00 35.00 2836.59 0.49 0.00 43.70 -4.376 5.198
 5.00 9.00 35.00 20.00 12597.46 0.52 0.00 -9.00 199.205 5.198
 5.00 9.00 20.00 24.00 12799.59 0.52 0.00 -60.42 -108.086 5.198
 5.00 9.00 24.00 28.00 12567.66 0.60 0.00 -42.47 -50.757 5.198
 5.00 9.00 28.00 32.00 16250.75 0.34 0.00 181.23 -36.462 5.198
 5.00 11.00 31.00 37.00 6608.93 0.37 0.00 -63.36 -14.113 3.101
 5.00 11.00 37.00 43.00 14624.69 0.43 0.00 51.95 -16.437 3.101
 5.00 11.00 43.00 49.00 21461.14 0.21 0.00 2.98 -14.253 3.101
 5.00 11.00 49.00 32.00 12964.36 0.10 0.00 120.50 44.747 3.101
 5.00 11.00 32.00 38.00 8028.06 0.07 0.00 -140.40 -15.246 3.101
 5.00 11.00 38.00 44.00 17661.61 0.11 0.00 0.08 -18.061 3.101
 5.00 11.00 44.00 50.00 23265.88 0.28 0.00 49.25 -14.275 3.101
 5.00 11.00 50.00 33.00 15369.21 0.14 0.00 4.48 47.950 3.101
 5.00 11.00 33.00 39.00 11555.11 0.07 0.00 -101.63 -19.605 3.101
 5.00 11.00 39.00 45.00 16059.40 0.03 0.00 -9.38 -14.986 3.101
 5.00 11.00 45.00 51.00 28395.47 0.95 0.00 23.84 -16.174 3.110
 5.00 11.00 51.00 34.00 17589.01 0.41 0.00 18.61 49.920 3.110
 5.00 11.00 34.00 40.00 14426.86 0.20 0.00 1.79 -22.021 3.110
 5.00 11.00 40.00 46.00 15807.69 0.18 0.00 73.20 -13.536 3.110
